NO_NAME,ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME
33,732437,0,1,0,0,1,1,0.318441997,1,1,0,1,32765,10000,0,0,0,0,1
34,146897,1,0,0,0,0,0,0.60468427,1,1,1,1,21217,11000,0,0,0,0,1
35,316173,0,1,0,0,2,3,0.504994853,0,0,0,0,32765,8000,0,0,0,0,1
36,9013,1,1,0,1,0,3,0.625146635,1,1,0,1,10238,17000,0,3,0,2,0
37,511757,2,0,0,1,1,0,0.57080821,1,1,1,1,10238,11000,0,2,0,1,0
38,429947,3,1,0,3,2,2,0.570315293,0,0,0,1,10238,12000,1,6,0,5,0
39,485660,2,1,0,1,2,2,0.578130587,1,1,0,1,92101,14000,0,1,0,1,0
40,80496,3,1,0,3,0,2,0.70545429,1,1,1,1,10238,10000,0,5,1,3,0
41,478336,2,1,0,2,2,2,0.659525491,1,0,0,1,10238,16000,0,4,0,2,0
42,10843,2,1,0,2,2,2,0.587383612,0,0,1,1,32765,9000,0,10,2,0,0
43,397446,0,1,0,0,1,1,0.406482425,0,1,0,0,10238,16000,0,0,0,0,1
44,101678,1,0,0,1,0,1,0.285747132,0,1,0,1,10238,13000,0,1,0,0,1
45,231661,2,1,0,2,0,0,0.502284965,0,1,0,0,10238,14000,1,3,0,4,0
46,173782,3,1,0,2,0,2,0.625625721,1,0,1,1,10238,7000,0,7,0,5,0
47,921097,2,0,0,2,2,2,0.627071329,1,0,1,1,92101,11000,0,3,0,2,0
48,98839,1,0,1,1,2,3,0.39315313,1,1,0,1,32765,12000,0,1,0,0,0
49,105372,1,0,1,1,1,3,0.50394976,0,1,0,1,10238,14000,0,1,0,0,0
50,888828,2,1,0,2,2,2,0.65862743,1,1,1,0,10238,14000,0,3,0,2,0
51,37454,1,0,0,0,0,3,0.524146466,0,1,0,0,10238,17000,0,0,0,0,1
52,370044,3,1,0,2,2,2,0.553100757,0,0,1,1,32765,7000,0,9,0,1,0
53,768282,0,0,0,0,2,3,0.447550949,0,1,1,1,10238,8000,0,0,0,0,1
54,738729,0,0,0,0,1,3,0.510733137,1,1,1,1,10238,7000,0,0,0,0,1
55,437535,1,0,0,1,0,0,0.539843663,1,0,1,0,10238,15000,0,0,0,0,0
56,329536,0,0,0,0,0,1,0.461373592,0,1,0,0,32765,9000,0,0,0,0,1
57,328531,2,0,0,2,2,0,0.387556944,0,0,0,1,32765,12000,0,2,0,1,0
58,123941,2,0,0,2,2,0,0.570157226,1,0,1,1,10238,11697.00321,0,0,0,0,0
59,131881,1,1,0,1,2,3,0.550125088,1,1,0,0,10238,16000,0,0,1,0,0
60,839572,2,1,0,2,0,3,0.452944232,0,1,1,1,10238,12000,0,3,0,1,0
61,171578,1,1,0,1,2,2,0.517273691,1,1,1,1,10238,8000,0,2,0,1,0
62,589757,2,0,0,2,0,2,0.53527431,1,1,1,1,92101,7000,0,2,0,0,0
63,336859,0,0,0,0,2,0,0.614735949,1,1,0,1,10238,15000,0,0,0,0,1
64,788111,2,0,1,2,0,1,0.454447156,1,1,1,1,10238,11697.00321,0,1,0,1,0
65,407453,2,0,0,0,2,2,0.613740918,1,1,0,0,10238,11697.00321,0,0,0,0,0
66,367026,2,0,1,1,0,3,0.532661328,1,1,1,1,10238,11000,0,0,0,0,0
67,334687,2,0,1,0,2,0,0.427728514,1,1,0,0,10238,15000,0,0,0,0,1
68,623367,3,1,0,2,2,2,0.685945721,1,1,1,1,32765,5000,0,4,1,4,0
69,688440,3,1,0,1,2,2,0.693612427,1,1,1,1,10238,10000,0,2,0,0,0
70,547974,3,1,0,2,0,2,0.597990596,0,1,1,1,10238,12000,0,2,1,7,1
71,989064,1,1,0,0,1,1,0.330818666,0,0,1,1,10238,12000,0,0,0,0,1
72,422816,2,1,0,2,0,3,0.49114921,1,1,0,0,10238,12000,0,5,0,7,0
73,307408,1,0,1,1,1,3,0.494569098,1,1,0,1,10238,9000,0,2,0,0,0
74,675898,0,1,0,0,0,0,0.508304218,1,1,0,1,10238,16000,0,0,0,0,0
75,480452,1,0,0,0,2,2,0.764132917,1,1,1,1,10238,12000,0,0,0,0,0
76,93199,2,0,0,0,2,0,0.47751696,1,0,1,1,10238,14000,0,0,0,0,0
77,125802,2,0,0,2,2,2,0.681233208,1,1,1,1,10238,10000,0,0,0,1,0
78,616663,2,1,0,0,2,2,0.467155546,1,0,0,0,10238,16000,0,0,0,0,0
79,423497,0,0,0,0,0,3,0.394163245,1,1,0,0,10238,16000,0,0,0,0,1
80,492837,2,0,0,1,2,2,0.661060732,1,0,1,1,10238,14000,0,0,0,0,0
81,422563,2,1,0,2,2,2,0.665187975,0,1,0,1,10238,14000,0,2,0,1,0
82,185231,0,0,0,0,0,0,0.560770207,1,1,0,1,10238,11000,0,0,0,0,0
83,949152,1,0,0,1,2,2,0.74543271,0,0,0,0,32765,9000,0,0,0,0,0
84,859453,1,1,0,1,2,0,0.532574352,1,1,1,1,10238,13000,0,1,0,2,0
85,466578,1,0,0,1,0,0,0.526747339,1,0,0,1,10238,14000,0,0,0,0,0
86,998214,0,0,1,0,1,1,0.412451746,0,1,0,0,10238,14000,0,0,0,0,1
87,828462,2,1,0,2,0,3,0.387107145,0,1,0,1,10238,16000,0,0,0,6,0
88,511837,3,1,0,1,0,0,0.549993868,1,1,1,1,32765,9000,0,3,1,1,0
89,554995,0,1,0,0,2,2,0.585342095,1,1,1,1,10238,12000,1,0,0,0,1
90,680717,3,1,0,3,1,0,0.598739605,1,1,1,1,10238,14000,0,6,1,3,0
91,978021,2,1,0,2,2,2,0.6026557,1,0,1,1,10238,7000,0,4,0,6,0
92,509815,1,0,0,0,0,3,0.511457058,1,0,1,1,32765,11697.00321,0,0,0,0,0
93,6676,2,0,0,2,0,2,0.558659174,0,1,0,1,10238,15000,0,3,0,2,0
94,362280,2,1,0,1,0,3,0.628407014,0,1,0,0,10238,13000,0,0,0,0,1
95,883018,2,1,0,0,0,3,0.505790373,1,1,0,1,10238,13000,0,0,0,0,0
96,889355,1,0,0,1,2,2,0.726818418,1,1,1,1,10238,15000,0,2,0,0,0
97,198273,3,1,0,2,2,2,0.690442334,1,0,1,1,32765,9000,0,8,0,2,0
98,197763,2,1,0,2,2,2,0.479677165,0,0,1,0,10238,14000,0,1,0,2,0
99,55670,1,1,0,1,2,2,0.55728484,1,0,1,1,10238,11000,0,3,1,0,0
100,545941,2,0,0,2,1,3,0.440559204,1,0,1,1,10238,11000,0,1,0,2,0
101,814196,0,0,0,0,1,0,0.634052597,1,1,0,1,32765,11697.00321,0,0,0,0,1
102,560160,0,0,0,0,0,1,0.457469588,0,1,0,0,10238,11697.00321,0,0,0,0,0
103,320444,1,1,0,0,1,1,0.308649018,0,1,0,1,10238,14000,0,0,0,0,0
104,305793,0,1,0,0,0,1,0.245835185,0,1,1,1,10238,11000,0,0,0,0,1
105,362190,0,1,0,0,0,1,0.305646519,0,1,0,0,10238,14000,0,0,0,0,1
106,62647,1,1,0,1,0,2,0.744014086,1,1,0,0,10238,13000,0,2,0,1,0
107,296948,2,1,0,1,2,2,0.670464547,1,0,1,1,10238,14000,0,0,0,0,0
108,673660,3,0,0,3,0,2,0.683040798,0,0,1,1,10238,10000,0,4,1,3,0
109,945867,0,1,0,0,2,0,0.828628569,1,1,0,0,10238,13000,0,0,0,0,1
110,391880,3,1,0,3,1,0,0.588876762,1,1,1,1,32765,10000,0,12,2,2,0
111,241973,3,0,0,3,0,2,0.629338094,1,1,1,0,10238,11000,0,2,0,2,0
112,429503,0,1,0,0,0,1,0.283724211,0,1,0,1,10238,15000,0,0,0,0,1
113,810013,0,1,0,0,2,3,0.457648682,1,0,0,0,10238,14000,1,0,0,0,1
114,663458,0,0,0,0,0,1,0.304987642,0,1,0,0,10238,15000,0,0,0,0,1
115,879976,0,1,0,0,0,3,0.551744288,0,1,1,1,32765,10000,0,0,0,0,1
116,418841,0,1,1,0,1,1,0.318685556,1,1,1,0,32765,9000,0,0,0,0,1
117,542236,1,1,1,1,1,3,0.436944194,1,1,0,0,10238,12000,0,3,0,0,0
118,937573,2,1,0,1,2,2,0.629193984,1,1,1,1,32765,7000,0,5,0,1,0
119,670850,0,1,0,0,2,3,0.405560016,1,1,0,0,10238,17000,0,0,0,0,1
120,151252,0,1,0,0,2,0,0.623546212,1,1,1,0,10238,11000,0,0,0,0,0
121,706349,3,1,0,1,2,2,0.72703299,1,1,1,1,10238,10000,0,1,1,2,0
122,602998,3,1,0,2,1,3,0.426828389,1,1,1,0,10238,14000,0,3,1,7,0
123,242772,1,0,0,1,1,0,0.50365897,1,1,0,1,10238,10000,0,1,2,0,0
124,393449,1,0,0,1,0,0,0.43126271,0,1,0,0,10238,12000,0,2,0,0,0
125,380740,3,1,0,3,2,2,0.726440002,1,0,1,1,10238,7000,0,2,0,3,0
126,938115,0,0,0,0,1,1,0.244490093,0,1,0,1,32765,11697.00321,0,0,0,0,1
127,727943,0,1,0,0,2,0,0.575770797,1,1,0,0,10238,11000,0,0,0,0,1
128,766309,0,1,0,0,0,1,0.343726884,0,1,0,0,10238,10000,1,0,0,0,1
129,261229,0,1,0,0,2,3,0.468671966,1,0,0,1,32765,9000,0,0,0,0,1
130,60866,3,1,0,2,2,2,0.697083456,0,0,0,1,10238,13000,0,3,0,2,0
131,752797,2,0,0,2,0,3,0.542918108,1,1,0,0,10238,15000,0,1,1,0,0
132,45002,3,1,0,3,0,2,0.672256254,1,1,1,1,10238,9000,0,4,1,2,0
133,482448,0,1,0,0,1,1,0.386406619,0,1,0,0,32765,8000,0,0,0,0,1
134,549142,0,1,0,0,2,0,0.551297833,1,1,1,1,10238,12000,0,0,0,0,1
135,95138,2,1,0,2,0,0,0.598557025,0,0,1,0,10238,14000,0,4,1,4,0
136,851152,1,0,0,1,1,3,0.477912871,0,1,1,1,10238,11697.00321,0,0,0,1,0
137,615991,2,0,0,2,0,2,0.582421995,1,0,1,1,10238,11000,0,2,0,1,0
138,424820,1,0,1,1,0,0,0.540182723,1,1,1,1,10238,11697.00321,0,0,0,1,0
139,807847,3,1,0,2,2,2,0.633013948,1,0,0,1,10238,14000,0,3,1,4,0
140,758983,2,1,0,2,0,0,0.55220463,1,0,1,0,32765,12000,0,6,0,3,0
141,987114,1,0,0,0,2,0,0.32668161,0,1,0,0,10238,16000,0,0,0,0,1
142,873457,2,1,1,2,0,0,0.588082542,1,1,1,1,10238,13000,0,7,1,1,0
143,699703,3,0,0,0,2,2,0.702274802,0,1,1,1,92101,10000,0,0,0,0,1
144,563342,3,0,0,0,2,2,0.726605539,1,1,0,1,10238,13000,0,0,0,0,0
145,504412,1,1,0,1,2,3,0.45789755,0,1,1,1,10238,12000,0,3,2,3,1
146,284106,3,1,0,3,2,2,0.732382121,1,1,1,1,10238,12000,0,5,1,5,0
147,78189,0,0,0,0,1,1,0.201283921,1,1,0,0,32765,12000,0,0,0,0,1
148,427520,1,1,0,1,2,0,0.464160708,0,1,0,0,10238,16000,0,0,1,0,0
149,689030,2,0,0,2,2,2,0.657967743,1,0,1,0,92101,13000,0,1,0,1,0
150,966467,3,1,0,3,2,2,0.600216155,1,1,1,1,10238,13000,0,5,2,4,0
151,288712,3,1,0,3,2,2,0.666376018,1,0,1,1,10238,12000,0,3,0,7,0
152,228114,1,1,0,0,0,3,0.40314728,1,1,1,1,10238,10000,0,0,0,0,0
153,63715,3,1,0,2,2,2,0.416935044,1,1,0,1,10238,13000,0,5,1,5,0
154,624077,3,0,0,3,1,2,0.594879714,1,1,1,1,32765,8000,1,10,0,1,0
155,726352,1,1,1,1,1,1,0.380426503,0,1,1,1,10238,16000,0,1,0,1,0
156,150072,0,0,0,0,1,1,0.394620932,0,1,0,0,21217,14000,0,0,0,0,1
157,792396,3,0,0,3,2,2,0.680617632,1,1,1,1,10238,12000,0,1,2,2,0
158,768933,2,1,1,0,0,3,0.35595047,1,1,0,1,10238,16000,0,0,0,0,1
159,452356,2,0,0,1,1,0,0.550329396,1,1,0,1,32765,10000,0,2,0,0,0
160,849811,3,0,1,3,0,2,0.587831426,1,0,1,0,32765,11697.00321,1,3,0,1,0
161,579336,3,0,0,1,2,2,0.573388043,1,0,1,1,10238,10000,0,0,0,2,0
162,648922,0,1,0,0,2,0,0.296406283,1,1,0,0,10238,13000,0,0,0,0,1
163,47909,3,1,0,1,2,2,0.429509699,1,1,1,1,10238,10000,0,1,0,4,0
164,619577,3,0,0,3,2,2,0.688568719,1,0,0,1,92101,11000,0,2,0,0,0
165,212678,3,0,0,2,2,2,0.700017432,1,0,0,1,32765,13000,0,1,0,1,0
166,579720,1,1,0,1,2,3,0.449588631,0,1,0,1,10238,11697.00321,1,0,0,1,1
167,995884,2,0,0,2,2,2,0.690045582,1,0,1,0,10238,11000,0,2,1,1,0
168,226326,2,0,1,1,2,3,0.496029873,1,0,0,0,10238,13000,0,0,0,1,0
169,943922,1,1,0,1,2,2,0.656345763,0,0,1,1,32765,6000,0,8,0,0,0
170,510116,2,1,0,0,0,0,0.498356626,1,0,0,1,10238,12000,0,0,0,0,0
171,536546,0,0,0,0,2,0,0.546382543,1,1,1,1,10238,12000,0,0,0,0,0
172,75592,2,0,0,1,0,3,0.315862877,1,1,0,1,10238,11000,0,0,0,1,0
173,487116,1,1,0,1,1,3,0.530064317,1,1,0,0,10238,11697.00321,0,1,0,2,1
174,936820,1,0,0,1,0,3,0.357839172,1,1,0,1,32765,12000,0,1,0,0,1
175,634050,3,1,0,1,2,2,0.672756053,1,0,1,1,10238,9000,0,1,0,2,0
176,307397,2,1,0,2,2,2,0.741999376,1,0,0,1,10238,11697.00321,0,2,0,2,0
177,558748,3,0,0,3,2,2,0.622651979,1,0,1,1,10238,11000,0,1,0,0,0
178,856630,0,0,0,0,0,0,0.480140668,0,0,0,0,32765,14000,0,0,0,0,1
179,200009,3,1,0,3,2,2,0.678795431,1,0,1,1,10238,11000,0,5,1,3,0
180,784462,3,1,0,3,2,2,0.601235375,1,1,1,1,32765,10000,0,13,1,6,0
181,792252,2,0,0,2,2,2,0.515246708,1,0,0,1,10238,12000,0,2,0,1,0
182,462586,1,1,0,1,1,3,0.489920599,1,1,0,1,10238,13000,0,3,0,1,0
183,577965,3,1,0,3,0,0,0.421957949,1,1,0,1,10238,11000,0,4,0,6,0
184,818248,2,1,0,2,2,2,0.58435485,1,1,0,0,10238,11697.00321,0,1,0,2,0
185,491438,0,1,0,0,1,1,0.368041939,0,1,0,0,10238,9000,0,0,0,0,1
186,896587,3,0,0,3,0,2,0.55815697,1,0,0,1,10238,14000,0,0,0,0,0
187,431538,0,1,0,0,0,1,0.194149548,0,1,1,0,10238,12000,1,0,0,0,1
188,164516,0,1,0,0,0,1,0.30049733,0,1,0,0,10238,13000,0,0,0,0,1
189,479577,2,0,0,2,2,2,0.667090692,1,0,1,1,10238,7000,0,4,0,0,0
190,395233,2,1,0,0,0,2,0.613072408,1,1,1,0,10238,11697.00321,0,0,0,0,1
191,221838,2,1,0,1,2,2,0.598816232,1,0,1,0,10238,11000,0,3,0,2,0
192,938476,1,1,1,1,0,0,0.595281763,1,1,1,1,32765,8000,0,1,0,1,0
193,112454,1,1,0,0,1,1,0.348235788,0,1,1,1,32765,7000,0,0,0,0,1
194,91246,1,1,0,1,0,3,0.356639671,1,0,1,1,10238,8000,0,3,0,1,0
195,2743,1,0,0,1,1,3,0.348659127,0,1,1,0,21217,12000,0,0,0,0,1
196,248888,2,1,0,0,0,0,0.559468486,1,1,0,1,32765,12000,0,0,0,0,1
197,195523,0,1,0,0,0,1,0.514483731,0,1,0,0,10238,12000,0,0,0,0,1
198,981926,2,0,0,2,2,2,0.562638406,1,0,0,1,10238,13000,0,2,1,0,0
199,593426,2,1,0,2,2,0,0.571724625,1,1,0,1,32765,15000,0,2,2,1,0
200,235574,3,0,0,3,2,2,0.651007869,1,0,1,1,10238,12000,0,5,0,2,0
201,440993,0,1,0,0,2,3,0.370734817,1,1,0,0,10238,12000,0,0,0,0,1
202,446993,0,1,0,0,0,1,0.305145078,1,1,0,0,10238,14000,0,0,0,0,0
203,82684,1,1,0,1,2,2,0.574414422,1,1,0,0,32765,11697.00321,0,2,0,5,1
204,301242,1,0,0,1,2,0,0.450014568,1,1,0,1,10238,13000,0,1,0,1,0
205,784122,1,1,0,1,2,2,0.636449096,1,1,1,1,10238,11697.00321,0,0,1,4,0
206,884967,3,1,0,3,2,2,0.457671703,0,1,1,1,10238,11697.00321,0,4,0,8,0
207,7722,1,0,1,0,0,1,0.335747373,0,1,0,1,10238,15000,0,0,0,0,1
208,278557,1,0,0,1,1,1,0.318694765,0,1,0,1,32765,11697.00321,1,1,2,0,0
209,123443,1,1,0,1,2,2,0.557840327,1,0,1,1,10238,10000,0,2,0,0,0
210,112143,0,0,0,0,1,3,0.192427412,0,1,0,1,32765,11000,0,0,0,0,1
211,912138,1,1,0,1,2,3,0.352824325,0,1,1,1,32765,11000,1,6,1,3,1
212,601305,3,0,0,0,2,2,0.647569235,0,0,1,1,10238,11000,0,0,0,0,1
213,602274,0,0,0,0,0,0,0.457236263,1,0,0,0,92101,10000,0,0,0,0,0
214,352099,1,1,0,1,1,0,0.504246929,1,1,0,1,10238,13000,0,0,0,1,0
215,660400,0,1,0,0,0,1,0.374962501,1,1,0,1,10238,15000,0,0,0,0,1
216,267614,0,0,0,0,2,2,0.660315621,1,1,0,1,10238,11000,1,0,0,0,0
217,974380,2,0,0,2,0,2,0.416917887,1,1,0,1,32765,12000,0,3,0,0,0
218,346585,1,0,0,1,0,2,0.635084035,1,1,1,0,10238,17000,0,0,1,0,0
219,536135,1,1,0,1,0,0,0.404928851,1,1,1,1,92101,11000,0,2,0,0,0
220,75569,2,0,0,2,0,2,0.495628393,0,0,1,0,10238,11000,0,2,0,0,0
221,415320,0,1,0,0,1,1,0.392177835,0,1,1,0,10238,11697.00321,0,0,0,0,1
222,645135,2,0,0,1,0,2,0.51494505,1,0,1,1,10238,11000,0,0,0,2,0
223,421596,3,1,0,3,2,2,0.503222539,1,0,1,1,10238,9000,0,6,2,10,0
224,164636,1,0,0,1,2,2,0.714033903,1,1,1,1,21217,11000,0,0,0,0,1
225,405100,1,1,0,1,0,3,0.36705124,0,1,1,0,10238,14000,0,1,0,1,1
226,315223,2,0,0,2,0,0,0.579392904,1,1,0,0,92101,13000,0,2,0,0,0
227,628723,2,0,0,2,0,0,0.558470224,1,1,0,1,10238,10000,0,1,0,4,0
228,483693,0,0,0,0,0,3,0.291977658,0,1,0,1,32765,12000,0,0,0,0,1
229,416795,2,0,0,2,0,0,0.661584142,1,1,0,1,32765,12000,0,5,0,0,0
230,712973,0,0,0,0,1,1,0.378829029,0,1,0,0,10238,17000,0,0,0,0,1
231,755061,0,0,1,0,0,1,0.374070559,1,1,0,0,10238,15000,0,0,0,0,1
232,625426,2,1,0,2,2,2,0.536997058,1,1,0,0,10238,13000,0,3,1,2,0
233,162614,3,1,0,3,2,2,0.459378575,1,1,1,1,10238,13000,0,1,0,5,0
234,732843,2,1,0,2,2,0,0.529895997,1,1,0,0,10238,15000,0,2,0,5,0
235,466761,2,0,0,0,2,2,0.465450684,1,0,1,1,10238,11000,0,0,0,0,0
236,498232,0,1,1,0,0,0,0.408686698,1,1,0,1,32765,9000,0,0,0,0,1
237,170391,3,0,0,2,0,2,0.588802139,1,1,1,1,10238,11000,0,2,0,2,0
238,918640,2,1,0,2,0,2,0.615024679,1,1,1,1,32765,7000,0,3,1,0,0
239,937134,3,0,0,3,0,2,0.604154435,1,1,1,1,32765,8000,0,2,0,0,0
240,273764,2,0,0,2,2,2,0.546460114,1,0,1,1,10238,8000,0,1,0,1,0
241,418555,1,0,1,1,1,3,0.489764557,1,1,0,0,10238,16000,0,1,0,1,0
242,344228,3,1,0,0,2,2,0.73799482,1,0,1,0,10238,17000,0,0,0,0,0
243,809278,2,0,0,1,1,3,0.427373364,1,1,0,1,32765,10000,0,3,0,0,0
244,68145,0,0,0,0,0,1,0.412991841,0,1,0,0,10238,11697.00321,0,0,0,0,1
245,128369,2,1,0,2,2,2,0.695323197,0,1,1,1,32765,7000,0,3,1,1,0
246,194925,0,0,0,0,0,1,0.291234413,0,1,0,1,10238,13000,0,0,0,0,1
247,303507,0,0,0,0,0,1,0.244133263,0,1,1,1,10238,11000,0,0,0,0,1
248,244931,3,1,0,0,2,2,0.508274015,1,0,1,1,10238,9000,0,0,0,0,0
249,570030,0,0,0,0,1,1,0.293258481,1,1,0,1,10238,14000,0,0,0,0,0
250,918038,1,0,0,1,1,1,0.343641719,0,1,0,0,10238,13000,0,0,1,0,1
251,102325,0,0,0,0,2,1,0.50332252,0,1,0,0,10238,15000,1,0,0,0,1
252,653061,1,0,0,0,2,2,0.513546164,0,0,0,1,10238,11697.00321,0,0,0,0,0
253,706892,2,0,0,2,2,2,0.663051369,1,0,1,1,10238,11697.00321,0,2,0,0,0
254,761911,2,1,0,0,1,1,0.202708438,0,1,0,1,32765,11000,0,0,0,0,1
255,271656,1,0,0,1,0,2,0.665343329,1,1,1,1,32765,12000,0,1,0,0,0
256,820690,3,1,0,3,2,2,0.538623693,1,0,1,1,10238,9000,0,8,0,5,0
257,622930,0,0,0,0,0,3,0.410136705,0,1,0,0,10238,15000,0,0,0,0,0
258,81394,0,1,0,0,1,1,0.313645585,1,1,0,1,10238,13000,0,0,0,0,0
259,373844,1,1,0,0,2,2,0.507324136,1,1,0,1,32765,12000,0,0,0,0,0
260,368392,0,1,0,0,1,1,0.209507388,0,1,0,1,10238,14000,0,0,0,0,1
261,447175,0,0,0,0,0,3,0.490724054,1,1,0,0,10238,15000,0,0,0,0,1
262,182095,2,1,0,2,2,0,0.581498674,1,1,1,1,10238,14000,0,5,0,0,0
263,451696,1,0,0,0,0,2,0.685035951,1,1,0,1,10238,12000,0,0,0,0,1
264,953021,1,1,0,0,2,0,0.473931649,1,0,0,1,10238,11697.00321,0,0,0,0,0
265,462465,0,1,0,0,0,3,0.356440058,0,1,0,1,10238,11000,0,0,0,0,1
266,617007,2,1,0,1,2,2,0.512846136,1,0,1,1,10238,10000,0,4,0,2,0
267,560773,2,1,0,1,2,2,0.662461756,1,0,1,0,10238,13000,0,1,0,1,0
268,438008,2,0,0,2,0,2,0.556413315,1,1,0,0,10238,17000,0,1,0,4,0
269,212573,0,0,1,0,0,1,0.267346659,0,1,0,0,10238,17000,0,0,0,0,0
270,492516,3,0,0,3,2,2,0.809411259,1,1,1,1,10238,9000,0,5,0,4,0
271,538225,0,0,0,0,1,1,0.367943548,0,0,1,1,10238,11000,0,0,0,0,0
272,658402,3,0,0,3,2,2,0.503354711,0,1,0,1,10238,11000,0,5,0,3,0
273,325516,3,0,0,0,1,0,0.534287706,1,1,1,1,10238,13000,0,0,0,0,0
274,200283,0,0,0,0,2,0,0.419080034,0,1,0,1,32765,10000,1,0,0,0,0
275,913707,0,0,0,0,0,0,0.377400377,0,1,0,1,10238,13000,0,0,0,0,1
276,905750,2,1,0,2,1,0,0.449011776,1,1,1,1,32765,7000,0,7,0,1,1
277,107029,2,1,0,2,2,2,0.803252342,1,1,0,1,10238,10000,0,2,0,3,0
278,304803,1,0,0,0,0,0,0.500272054,1,1,1,1,32765,8000,1,0,0,0,0
279,124204,0,0,0,0,1,1,0.186185115,0,1,0,0,10238,17000,0,0,0,0,1
280,781586,2,0,0,1,2,2,0.627426412,1,0,1,0,10238,13000,0,0,1,0,0
281,644662,1,1,0,1,0,3,0.315129356,0,1,0,0,32765,11697.00321,0,2,0,1,0
282,903407,0,1,0,0,1,1,0.3810856,0,1,0,1,32765,12000,0,0,0,0,0
283,968669,3,0,0,3,2,2,0.483638012,1,0,1,1,32765,9000,0,4,1,2,0
284,993267,1,0,0,1,0,1,0.385874101,1,1,0,0,10238,14000,0,0,1,0,0
285,423938,3,1,0,3,0,2,0.634372502,1,0,1,0,32765,11000,0,11,1,5,0
286,125168,0,1,0,0,0,3,0.362174119,1,1,0,0,10238,16000,0,0,0,0,1
287,175635,1,0,0,1,0,1,0.443926696,0,1,1,1,32765,5000,0,0,2,3,1
